County ID,County Name,medicareBen
1001,AL-Autauga County,"4,656"
1003,AL-Baldwin County,"22,333"
1005,AL-Barbour County,"3,094"
1007,AL-Bibb County,"1,844"
1009,AL-Blount County,"4,351"
1011,AL-Bullock County,"1,075"
1013,AL-Butler County,"2,780"
1015,AL-Calhoun County,"15,679"
1017,AL-Chambers County,"4,838"
1019,AL-Cherokee County,"3,068"
1021,AL-Chilton County,"3,176"
1023,AL-Choctaw County,"2,305"
1025,AL-Clarke County,"3,415"
1027,AL-Clay County,"1,988"
1029,AL-Cleburne County,"1,986"
1031,AL-Coffee County,"6,420"
1033,AL-Colbert County,"8,345"
1035,AL-Conecuh County,"1,883"
1037,AL-Coosa County,"1,540"
1039,AL-Covington County,"6,210"
1041,AL-Crenshaw County,"1,976"
1043,AL-Cullman County,"10,017"
1045,AL-Dale County,"5,404"
1047,AL-Dallas County,"4,681"
1049,AL-DeKalb County,"7,810"
1051,AL-Elmore County,"8,253"
1053,AL-Escambia County,"5,074"
1055,AL-Etowah County,"13,902"
1057,AL-Fayette County,"2,449"
1059,AL-Franklin County,"4,541"
1061,AL-Geneva County,"4,171"
1063,AL-Greene County,"1,128"
1065,AL-Hale County,"1,950"
1067,AL-Henry County,"2,796"
1069,AL-Houston County,"13,001"
1071,AL-Jackson County,"8,085"
1073,AL-Jefferson County,"46,447"
1075,AL-Lamar County,"2,372"
1077,AL-Lauderdale County,"13,470"
1079,AL-Lawrence County,"5,282"
1081,AL-Lee County,"11,490"
1083,AL-Limestone County,"8,679"
1085,AL-Lowndes County,"1,411"
1087,AL-Macon County,"2,014"
1089,AL-Madison County,"35,663"
1091,AL-Marengo County,"2,927"
1093,AL-Marion County,"4,605"
1095,AL-Marshall County,"12,486"
1097,AL-Mobile County,"30,073"
1099,AL-Monroe County,"2,780"
1101,AL-Montgomery County,"18,894"
1103,AL-Morgan County,"14,769"
1105,AL-Perry County,"1,464"
1107,AL-Pickens County,"2,910"
1109,AL-Pike County,"3,718"
1111,AL-Randolph County,"3,239"
1113,AL-Russell County,"5,241"
1115,AL-St. Clair County,"6,030"
1117,AL-Shelby County,"15,677"
1119,AL-Sumter County,"1,576"
1121,AL-Talladega County,"8,633"
1123,AL-Tallapoosa County,"5,784"
1125,AL-Tuscaloosa County,"19,060"
1127,AL-Walker County,"7,526"
1129,AL-Washington County,"2,266"
1131,AL-Wilcox County,"1,529"
1133,AL-Winston County,"3,863"
2013,AK-Aleutians East County,103
2016,AK-Aleutians West County,109
2020,AK-Anchorage County,"21,183"
2050,AK-Bethel County,856
2060,AK-Bristol Bay County,91
2068,AK-Denali County,146
2070,AK-Dillingham County,294
2090,AK-Fairbanks North Star County,"6,194"
2100,AK-Haines County,396
2105,AK-Hoonah-Angoon County,290
2110,AK-Juneau County,"2,852"
2122,AK-Kenai Peninsula County,"6,748"
2130,AK-Ketchikan Gateway County,"1,438"
2150,AK-Kodiak Island County,946
2164,AK-Lake and Peninsula County,133
2170,AK-Susitna County,"7,385"
2180,AK-Nome County,513
2185,AK-North Slope County,481
2188,AK-Northwest Arctic County,337
2195,AK-Petersburg County,483
2198,AK-Prince of Wales-Hyder County,606
2201,AK-Prince Wales Ketchikan County,
2220,AK-Sitka County,909
2230,AK-Skagway County,109
2240,AK-Southeast Fairbanks County,931
2261,AK-Cordova County,915
2270,AK-Wade Hampton County,345
2275,AK-Wrangell County,354
2282,AK-Yakutat County,78
2290,AK-Yukon-Koyukuk County,539
4001,AZ-Apache County,"6,689"
4003,AZ-Cochise County,"14,993"
4005,AZ-Coconino County,"12,594"
4007,AZ-Gila County,"10,102"
4009,AZ-Graham County,"2,638"
4011,AZ-Greenlee County,723
4012,AZ-La Paz County,"3,337"
4013,AZ-Maricopa County,"247,779"
4015,AZ-Mohave County,"32,962"
4017,AZ-Navajo County,"11,438"
4019,AZ-Pima County,"74,568"
4021,AZ-Pinal County,"28,402"
4023,AZ-Santa Cruz County,"2,990"
4025,AZ-Yavapai County,"37,194"
4027,AZ-Yuma County,"18,219"
5001,AR-Arkansas County,"2,701"
5003,AR-Ashley County,"3,177"
5005,AR-Baxter County,"8,558"
5007,AR-Benton County,"18,144"
5009,AR-Boone County,"5,298"
5011,AR-Bradley County,"1,631"
5013,AR-Calhoun County,633
5015,AR-Carroll County,"3,697"
5017,AR-Chicot County,"1,804"
5019,AR-Clark County,"2,873"
5021,AR-Clay County,"2,655"
5023,AR-Cleburne County,"5,054"
5025,AR-Cleveland County,"1,178"
5027,AR-Columbia County,"3,309"
5029,AR-Conway County,"2,692"
5031,AR-Craighead County,"10,004"
5033,AR-Crawford County,"5,199"
5035,AR-Crittenden County,"4,302"
5037,AR-Cross County,"2,241"
5039,AR-Dallas County,"1,091"
5041,AR-Desha County,"1,827"
5043,AR-Drew County,"2,140"
5045,AR-Faulkner County,"10,710"
5047,AR-Franklin County,"2,090"
5049,AR-Fulton County,"1,639"
5051,AR-Garland County,"13,022"
5053,AR-Grant County,"2,058"
5055,AR-Greene County,"4,773"
5057,AR-Hempstead County,"2,396"
5059,AR-Hot Spring County,"3,948"
5061,AR-Howard County,"1,820"
5063,AR-Independence County,"4,975"
5065,AR-Izard County,"2,556"
5067,AR-Jackson County,"2,761"
5069,AR-Jefferson County,"7,553"
5071,AR-Johnson County,"2,612"
5073,AR-Lafayette County,997
5075,AR-Lawrence County,"2,332"
5077,AR-Lee County,956
5079,AR-Lincoln County,"1,256"
5081,AR-Little River County,"1,852"
5083,AR-Logan County,"2,911"
5085,AR-Lonoke County,"7,133"
5087,AR-Madison County,"1,669"
5089,AR-Marion County,"2,656"
5091,AR-Miller County,"4,565"
5093,AR-Mississippi County,"4,374"
5095,AR-Monroe County,"1,185"
5097,AR-Montgomery County,"1,471"
5099,AR-Nevada County,"1,171"
5101,AR-Newton County,"1,189"
5103,AR-Ouachita County,"3,197"
5105,AR-Perry County,"1,492"
5107,AR-Phillips County,"2,305"
5109,AR-Pike County,"1,573"
5111,AR-Poinsett County,"3,236"
5113,AR-Polk County,"3,504"
5115,AR-Pope County,"6,613"
5117,AR-Prairie County,"1,309"
5119,AR-Pulaski County,"36,871"
5121,AR-Randolph County,"2,624"
5123,AR-St. Francis County,"2,662"
5125,AR-Saline County,"17,797"
5127,AR-Scott County,"1,063"
5129,AR-Searcy County,"1,443"
5131,AR-Sebastian County,"11,403"
5133,AR-Sevier County,"1,805"
5135,AR-Sharp County,"3,712"
5137,AR-Stone County,"2,221"
5139,AR-Union County,"5,524"
5141,AR-Van Buren County,"2,872"
5143,AR-Washington County,"16,299"
5145,AR-White County,"9,086"
5147,AR-Woodruff County,"1,144"
5149,AR-Yell County,"2,721"
6001,CA-Alameda County,"80,851"
6003,CA-Alpine County,145
6005,CA-Amador County,"6,339"
6007,CA-Butte County,"33,166"
6009,CA-Calaveras County,"7,932"
6011,CA-Colusa County,"2,236"
6013,CA-Contra Costa County,"61,159"
6015,CA-Del Norte County,"3,535"
6017,CA-El Dorado County,"18,144"
6019,CA-Fresno County,"60,659"
6021,CA-Glenn County,"3,959"
6023,CA-Humboldt County,"17,235"
6025,CA-Imperial County,"16,339"
6027,CA-Inyo County,"3,808"
6029,CA-Kern County,"43,140"
6031,CA-Kings County,"9,541"
6033,CA-Lake County,"10,419"
6035,CA-Lassen County,"2,827"
6037,CA-Los Angeles County,"522,009"
6039,CA-Madera County,"10,676"
6041,CA-Marin County,"25,778"
6043,CA-Mariposa County,"3,220"
6045,CA-Mendocino County,"13,374"
6047,CA-Merced County,"21,786"
6049,CA-Modoc County,"1,629"
6051,CA-Mono County,"1,017"
6053,CA-Monterey County,"42,223"
6055,CA-Napa County,"11,783"
6057,CA-Nevada County,"15,433"
6059,CA-Orange County,"173,019"
6061,CA-Placer County,"29,429"
6063,CA-Plumas County,"4,290"
6065,CA-Riverside County,"105,070"
6067,CA-Sacramento County,"76,266"
6069,CA-San Benito County,"5,011"
6071,CA-San Bernardino County,"72,381"
6073,CA-San Diego County,"182,238"
6075,CA-San Francisco County,"56,980"
6077,CA-San Joaquin County,"43,713"
6079,CA-San Luis Obispo County,"37,356"
6081,CA-San Mateo County,"47,295"
6083,CA-Santa Barbara County,"44,646"
6085,CA-Santa Clara County,"111,266"
6087,CA-Santa Cruz County,"28,324"
6089,CA-Shasta County,"28,196"
6091,CA-Sierra County,842
6093,CA-Siskiyou County,"8,366"
6095,CA-Solano County,"22,334"
6097,CA-Sonoma County,"39,117"
6099,CA-Stanislaus County,"29,991"
6101,CA-Sutter County,"11,297"
6103,CA-Tehama County,"11,239"
6105,CA-Trinity County,"2,480"
6107,CA-Tulare County,"36,731"
6109,CA-Tuolumne County,"10,460"
6111,CA-Ventura County,"66,750"
6113,CA-Yolo County,"9,744"
6115,CA-Yuba County,"6,777"
8001,CO-Adams County,"14,008"
8003,CO-Alamosa County,"1,291"
8005,CO-Arapahoe County,"33,726"
8007,CO-Archuleta County,"1,983"
8009,CO-Baca County,831
8011,CO-Bent County,599
8013,CO-Boulder County,"17,106"
8014,CO-Broomfield County,"3,019"
8015,CO-Chaffee County,"3,064"
8017,CO-Cheyenne County,248
8019,CO-Clear Creek County,445
8021,CO-Conejos County,868
8023,CO-Costilla County,514
8025,CO-Crowley County,464
8027,CO-Custer County,813
8029,CO-Delta County,"4,685"
8031,CO-Denver County,"25,684"
8033,CO-Dolores County,333
8035,CO-Douglas County,"14,359"
8037,CO-Eagle County,"2,454"
