FIPS,State,Area_Name,popChange
00000,US,United States,"2,206,529"
01000,AL,Alabama,"13,519"
01001,AL,Autauga County,-235
01003,AL,Baldwin County,"4,744"
01005,AL,Barbour County,-194
01007,AL,Bibb County,-144
01009,AL,Blount County,-26
01011,AL,Bullock County,-78
01013,AL,Butler County,-335
01015,AL,Calhoun County,-733
01017,AL,Chambers County,39
01019,AL,Cherokee County,57
01021,AL,Chilton County,76
01023,AL,Choctaw County,-165
01025,AL,Clarke County,-43
01027,AL,Clay County,3
01029,AL,Cleburne County,103
01031,AL,Coffee County,-451
01033,AL,Colbert County,-37
01035,AL,Conecuh County,-141
01037,AL,Coosa County,-143
01039,AL,Covington County,48
01041,AL,Crenshaw County,-46
01043,AL,Cullman County,380
01045,AL,Dale County,-543
01047,AL,Dallas County,-798
01049,AL,DeKalb County,-79
01051,AL,Elmore County,370
01053,AL,Escambia County,-186
01055,AL,Etowah County,-425
01057,AL,Fayette County,-108
01059,AL,Franklin County,-147
01061,AL,Geneva County,-258
01063,AL,Greene County,-135
01065,AL,Hale County,-100
01067,AL,Henry County,-49
01069,AL,Houston County,232
01071,AL,Jackson County,-148
01073,AL,Jefferson County,939
01075,AL,Lamar County,-65
01077,AL,Lauderdale County,19
01079,AL,Lawrence County,-218
01081,AL,Lee County,"3,122"
01083,AL,Limestone County,"1,536"
01085,AL,Lowndes County,-150
01087,AL,Macon County,-616
01089,AL,Madison County,"3,931"
01091,AL,Marengo County,-243
01093,AL,Marion County,-237
01095,AL,Marshall County,136
01097,AL,Mobile County,124
01099,AL,Monroe County,-439
01101,AL,Montgomery County,-867
01103,AL,Morgan County,-471
01105,AL,Perry County,-189
01107,AL,Pickens County,11
01109,AL,Pike County,479
01111,AL,Randolph County,6
01113,AL,Russell County,"1,614"
01115,AL,St. Clair County,"1,057"
01117,AL,Shelby County,"3,036"
01119,AL,Sumter County,-39
01121,AL,Talladega County,-664
01123,AL,Tallapoosa County,-5
01125,AL,Tuscaloosa County,"2,100"
01127,AL,Walker County,-277
01129,AL,Washington County,-234
01131,AL,Wilcox County,-161
01133,AL,Winston County,-21
02000,AK,Alaska,"5,790"
02013,AK,Aleutians East Borough,17
02016,AK,Aleutians West Census Area,27
02020,AK,Anchorage Municipality,"2,616"
02050,AK,Bethel Census Area,170
02060,AK,Bristol Bay Borough,-29
02068,AK,Denali Borough,27
02070,AK,Dillingham Census Area,31
02090,AK,Fairbanks North Star Borough,549
02100,AK,Haines Borough,-21
02105,AK,Hoonah-Angoon Census Area,-3
02110,AK,Juneau City and Borough,170
02122,AK,Kenai Peninsula Borough,107
02130,AK,Ketchikan Gateway Borough,-38
02150,AK,Kodiak Island Borough,15
02158,AK,Kusilvak Census Area,158
02164,AK,Lake and Peninsula Borough,10
02170,AK,Matanuska-Susitna Borough,"2,132"
02180,AK,Nome Census Area,24
02185,AK,North Slope Borough,79
02188,AK,Northwest Arctic Borough,-7
02195,AK,Petersburg Borough,-18
02198,AK,Prince of Wales-Hyder Census Area,19
02220,AK,Sitka City and Borough,-47
02230,AK,Skagway Municipality,14
02240,AK,Southeast Fairbanks Census Area,-178
02261,AK,Valdez-Cordova Census Area,35
02275,AK,Wrangell City and Borough,15
02282,AK,Yakutat City and Borough,-14
02290,AK,Yukon-Koyukuk Census Area,-70
04000,AZ,Arizona,"74,983"
04001,AZ,Apache County,-947
04003,AZ,Cochise County,"-2,289"
04005,AZ,Coconino County,642
04007,AZ,Gila County,3
04009,AZ,Graham County,443
04011,AZ,Greenlee County,142
04012,AZ,La Paz County,14
04013,AZ,Maricopa County,"68,260"
04015,AZ,Mohave County,-504
04017,AZ,Navajo County,406
04019,AZ,Pima County,"4,144"
04021,AZ,Pinal County,"2,719"
04023,AZ,Santa Cruz County,-418
04025,AZ,Yavapai County,"2,677"
04027,AZ,Yuma County,-309
05000,AR,Arkansas,"7,978"
05001,AR,Arkansas County,-201
05003,AR,Ashley County,-257
05005,AR,Baxter County,-106
05007,AR,Benton County,"4,535"
05009,AR,Boone County,56
05011,AR,Bradley County,-140
05013,AR,Calhoun County,-92
05015,AR,Carroll County,171
05017,AR,Chicot County,-129
05019,AR,Clark County,-157
05021,AR,Clay County,-256
05023,AR,Cleburne County,-114
05025,AR,Cleveland County,-76
05027,AR,Columbia County,-135
05029,AR,Conway County,-60
05031,AR,Craighead County,"1,706"
05033,AR,Crawford County,-244
05035,AR,Crittenden County,-335
05037,AR,Cross County,-159
05039,AR,Dallas County,-57
05041,AR,Desha County,-108
05043,AR,Drew County,-80
05045,AR,Faulkner County,765
05047,AR,Franklin County,-23
05049,AR,Fulton County,-3
05051,AR,Garland County,192
05053,AR,Grant County,9
05055,AR,Greene County,-88
05057,AR,Hempstead County,46
05059,AR,Hot Spring County,38
05061,AR,Howard County,-166
05063,AR,Independence County,-52
05065,AR,Izard County,-136
05067,AR,Jackson County,41
05069,AR,Jefferson County,"-1,468"
05071,AR,Johnson County,-15
05073,AR,Lafayette County,-196
05075,AR,Lawrence County,20
05077,AR,Lee County,-171
05079,AR,Lincoln County,-116
05081,AR,Little River County,-181
05083,AR,Logan County,93
05085,AR,Lonoke County,706
05087,AR,Madison County,65
05089,AR,Marion County,-170
05091,AR,Miller County,-209
05093,AR,Mississippi County,-844
05095,AR,Monroe County,-173
05097,AR,Montgomery County,-98
05099,AR,Nevada County,-120
05101,AR,Newton County,-9
05103,AR,Ouachita County,-436
05105,AR,Perry County,1
05107,AR,Phillips County,-325
05109,AR,Pike County,-144
05111,AR,Poinsett County,-137
05113,AR,Polk County,-79
05115,AR,Pope County,-93
05117,AR,Prairie County,-96
05119,AR,Pulaski County,"2,407"
05121,AR,Randolph County,-233
05123,AR,St. Francis County,-499
05125,AR,Saline County,"2,529"
05127,AR,Scott County,-112
05129,AR,Searcy County,-9
05131,AR,Sebastian County,-291
05133,AR,Sevier County,144
05135,AR,Sharp County,23
05137,AR,Stone County,-120
05139,AR,Union County,-261
05141,AR,Van Buren County,-175
05143,AR,Washington County,"4,482"
05145,AR,White County,-35
05147,AR,Woodruff County,-26
05149,AR,Yell County,-36
06000,CA,California,"324,129"
06001,CA,Alameda County,"25,684"
06003,CA,Alpine County,18
06005,CA,Amador County,-513
06007,CA,Butte County,936
06009,CA,Calaveras County,-183
06011,CA,Colusa County,-1
06013,CA,Contra Costa County,"15,788"
06015,CA,Del Norte County,-375
06017,CA,El Dorado County,869
06019,CA,Fresno County,"6,918"
06021,CA,Glenn County,-23
06023,CA,Humboldt County,-108
06025,CA,Imperial County,-93
06027,CA,Inyo County,10
06029,CA,Kern County,"8,646"
06031,CA,Kings County,-562
06033,CA,Lake County,-166
06035,CA,Lassen County,"-1,518"
06037,CA,Los Angeles County,"61,881"
06039,CA,Madera County,-136
06041,CA,Marin County,"2,442"
06043,CA,Mariposa County,-112
06045,CA,Mendocino County,-202
06047,CA,Merced County,"1,231"
06049,CA,Modoc County,-228
06051,CA,Mono County,-305
06053,CA,Monterey County,"2,265"
06055,CA,Napa County,"1,204"
06057,CA,Nevada County,-149
06059,CA,Orange County,"27,641"
06061,CA,Placer County,"5,417"
06063,CA,Plumas County,-483
06065,CA,Riverside County,"26,533"
06067,CA,Sacramento County,"12,787"
06069,CA,San Benito County,672
06071,CA,San Bernardino County,"10,698"
06073,CA,San Diego County,"36,906"
06075,CA,San Francisco County,"10,464"
06077,CA,San Joaquin County,"2,654"
06079,CA,San Luis Obispo County,"1,704"
06081,CA,San Mateo County,"8,970"
06083,CA,Santa Barbara County,"5,162"
06085,CA,Santa Clara County,"27,973"
06087,CA,Santa Cruz County,"2,513"
06089,CA,Shasta County,632
06091,CA,Sierra County,-37
06093,CA,Siskiyou County,-515
06095,CA,Solano County,"4,091"
06097,CA,Sonoma County,"4,148"
06099,CA,Stanislaus County,"3,384"
06101,CA,Sutter County,439
06103,CA,Tehama County,-298
06105,CA,Trinity County,-70
06107,CA,Tulare County,"2,653"
06109,CA,Tuolumne County,-194
06111,CA,Ventura County,"4,979"
06113,CA,Yolo County,"1,756"
06115,CA,Yuba County,332
08000,CO,Colorado,"77,736"
08001,CO,Adams County,"9,635"
08003,CO,Alamosa County,112
08005,CO,Arapahoe County,"11,594"
08007,CO,Archuleta County,81
08009,CO,Baca County,-80
08011,CO,Bent County,-73
08013,CO,Boulder County,"4,937"
08014,CO,Broomfield County,"1,186"
08015,CO,Chaffee County,213
08017,CO,Cheyenne County,8
08019,CO,Clear Creek County,25
08021,CO,Conejos County,-22
08023,CO,Costilla County,-82
08025,CO,Crowley County,-93
08027,CO,Custer County,23
08029,CO,Delta County,-124
08031,CO,Denver County,"13,870"
08033,CO,Dolores County,32
08035,CO,Douglas County,"7,688"
08037,CO,Eagle County,437
08039,CO,Elbert County,270
08041,CO,El Paso County,"9,352"
08043,CO,Fremont County,-655
